date,price,index
2021-12-27,26065,1
2021-12-28,26065,2
2021-12-29,25694,3
2021-12-30,25694,4
2021-12-31,25796,5
2022-01-03,25796,6
2022-01-04,25796,7
2022-01-05,25846,8
2022-01-06,25846,9
2022-01-07,26336,10
2022-01-10,26626,11
2022-01-11,26377,12
2022-01-12,26216,13
2022-01-13,26059,14
2022-01-14,26297,15
2022-01-17,26893,16
2022-01-18,27060,17
2022-01-19,27069,18
2022-01-20,26660,19
2022-01-21,26569,20
2022-01-24,27410,21
2022-01-25,27410,22
2022-01-26,27410,23
2022-01-27,27239,24
2022-01-28,27095,25
2022-02-03,28090,26
2022-02-04,27758,27
2022-02-07,26503,28
2022-02-08,26375,29
2022-02-09,26375,30
2022-02-10,26342,31
2022-02-11,26342,32
2022-02-14,26340,33
2022-02-15,26202,34
2022-02-16,26160,35
2022-02-17,25968,36
2022-02-18,25968,37
2022-02-21,26756,38
2022-02-22,26851,39
2022-02-23,26851,40
2022-02-24,26699,41
2022-02-25,27023,42
2022-02-28,27023,43
2022-03-02,27724,44
2022-03-03,27644,45
2022-03-04,27724,46
2022-03-07,27881,47
2022-03-08,27791,48
2022-03-10,27639,49
2022-03-11,27554,50
2022-03-15,27504,51
2022-03-17,27504,52
2022-03-18,27504,53
2022-09-06,26500,54
2022-09-07,26500,55
2022-09-27,26740,56
2022-09-28,26740,57
2022-09-29,26740,58
2022-09-30,27245,59
2022-10-04,27351,60
2022-10-05,27351,61
2022-10-06,27560,62
2022-10-07,27687,63
2022-10-11,27068,64
2022-10-12,27009,65
2022-10-13,27009,66
2022-10-14,27090,67
2022-10-17,27272,68
2022-10-18,27488,69
2022-10-19,27375,70
2022-10-20,27521,71
2022-10-21,27521,72
2022-10-24,27521,73
2022-10-25,27783,74
2022-10-26,28031,75
2022-10-27,28162,76
2022-10-28,28325,77
2022-10-31,28325,78
2022-11-01,28325,79
2022-11-02,28325,80
2022-11-03,28575,81
2022-11-04,28655,82
2022-11-07,28655,83
2022-11-08,28655,84
2022-11-09,28735,85
2022-11-10,28735,86
2022-12-15,28802,87
2022-12-16,28802,88
2022-12-19,28802,89
2022-12-20,28657,90
2022-12-21,28717,91
2022-12-22,28717,92
2022-12-23,28539,93
2022-05-13,28377,94
2022-05-16,28377,95
2022-05-17,28355,96
2022-05-18,28355,97
2022-05-19,27865,98
2022-05-20,27750,99
2022-05-23,28073,100
2022-05-24,28073,101
2022-05-25,28208,102
2022-05-26,28208,103
2022-05-27,28303,104
2022-05-30,28303,105
2022-05-31,28090,106
2022-06-02,28238,107
2022-06-03,28405,108
2022-06-07,28169,109
2022-06-08,28169,110
2022-06-09,28320,111
2022-06-10,28320,112
2022-06-13,28563,113
2022-06-14,28640,114
2022-06-15,27922,115
2022-06-16,28737,116
2022-06-17,28495,117
2022-06-20,29098,118
2022-06-21,29413,119
2022-06-22,29413,120
2022-06-23,29356,121
2022-06-24,29294,122
2022-06-27,29614,123
2022-06-28,29232,124
2022-06-29,29363,125
2022-06-30,29306,126
2022-07-01,29678,127
2022-07-04,29814,128
2022-07-05,29678,129
2022-07-06,29463,130
2022-07-07,30020,131
2022-07-08,30020,132
2022-07-11,30163,133
2022-07-12,30163,134
2022-07-13,30434,135
2022-07-14,29834,136
2022-07-15,29834,137
2022-07-18,29858,138
2022-07-19,30037,139
2022-07-20,30037,140
2022-07-21,30037,141
2022-07-22,30037,142
2022-07-25,30037,143
2022-07-26,29660,144
2022-07-27,29660,145
2022-07-28,29660,146
2022-07-29,29660,147
2022-08-01,29951,148
2022-08-02,30038,149
2022-08-03,29906,150
2022-08-04,29906,151
2022-08-05,29901,152
2022-08-08,30537,153
2022-08-09,30798,154
2022-08-10,30848,155
2022-08-11,31091,156
2022-08-12,30357,157
2022-08-16,30556,158
2022-08-17,30372,159
2022-08-18,30787,160
2022-08-19,30787,161
2022-08-22,31843,162
2022-08-23,32027,163
2022-10-25,25418,164
2022-10-26,24702,165
2022-10-27,22384,166
2022-10-28,22521,167
2022-10-31,23066,168
2022-11-01,23048,169
2022-11-02,23025,170
2022-11-03,23027,171
2022-11-04,22940,172
2022-11-07,22880,173
2022-11-08,22880,174
2022-11-09,22649,175
2022-11-10,22649,176
2022-11-11,22649,177
2022-11-14,22560,178
2022-11-15,22586,179
2022-11-16,22717,180
2022-11-17,22447,181
2022-11-18,21979,182
2022-11-21,22093,183
2022-11-22,22195,184
2022-11-23,22430,185
2022-11-24,22372,186
2022-11-25,22372,187
2022-11-28,22256,188
2022-11-29,22356,189
2022-11-30,22352,190
2022-12-01,22352,191
2022-12-05,22272,192
2022-12-06,22265,193
2022-12-07,22265,194
2022-12-08,22066,195
2022-12-09,22016,196
2022-12-12,22016,197
2022-12-13,22137,198
2022-12-14,22124,199
2022-12-15,22089,200
2022-12-16,22089,201
2022-12-19,21944,202
2022-12-20,21858,203
2022-12-21,21712,204
2022-12-22,21562,205
2022-12-23,21562,206
