date,price,index
2021-12-27,287,1
2021-12-28,287,2
2021-12-29,287,3
2021-12-30,296,4
2021-12-31,296,5
2022-01-03,296,6
2022-01-04,296,7
2022-01-05,296,8
2022-01-06,296,9
2022-01-07,296,10
2022-01-10,297,11
2022-01-11,297,12
2022-01-12,297,13
2022-01-13,293,14
2022-01-14,293,15
2022-01-17,293,16
2022-01-18,293,17
2022-01-19,293,18
2022-01-20,300,19
2022-01-21,300,20
2022-01-24,298,21
2022-01-25,298,22
2022-01-26,300,23
2022-01-27,302,24
2022-01-28,302,25
2022-02-03,300,26
2022-02-04,303,27
2022-02-07,303,28
2022-02-08,312,29
2022-02-09,312,30
2022-02-10,309,31
2022-02-11,309,32
2022-02-14,308,33
2022-02-15,308,34
2022-02-16,308,35
2022-02-17,307,36
2022-02-18,305,37
2022-02-21,300,38
2022-02-22,300,39
2022-02-23,301,40
2022-02-24,300,41
2022-02-25,301,42
2022-02-28,302,43
2022-03-02,302,44
2022-03-03,305,45
2022-03-04,305,46
2022-03-07,305,47
2022-03-08,309,48
2022-03-10,307,49
2022-03-11,307,50
2022-03-14,308,51
2022-03-15,308,52
2022-03-16,308,53
2022-03-17,309,54
2022-03-18,310,55
2022-03-21,321,56
2022-03-22,321,57
2022-03-23,322,58
2022-03-24,321,59
2022-03-25,324,60
2022-03-28,324,61
2022-03-29,323,62
2022-03-30,324,63
2022-03-31,326,64
2022-04-01,326,65
2022-04-04,321,66
2022-04-05,328,67
2022-04-06,332,68
2022-04-07,321,69
2022-04-08,322,70
2022-04-11,322,71
2022-04-12,322,72
2022-04-13,322,73
2022-04-14,326,74
2022-04-15,326,75
2022-04-18,326,76
2022-04-19,326,77
2022-04-20,326,78
2022-04-21,323,79
2022-04-22,325,80
2022-04-25,325,81
2022-04-26,325,82
2022-04-27,325,83
2022-04-28,319,84
2022-04-29,328,85
2022-05-02,329,86
2022-05-03,329,87
2022-05-04,331,88
2022-05-06,335,89
2022-05-09,332,90
2022-05-10,333,91
2022-05-11,333,92
2022-05-12,333,93
2022-05-13,333,94
2022-05-16,333,95
2022-05-17,333,96
2022-05-18,333,97
2022-05-19,327,98
2022-05-20,328,99
2022-05-23,328,100
2022-05-24,328,101
2022-05-25,328,102
2022-05-26,329,103
2022-05-27,332,104
2022-05-30,329,105
2022-05-31,329,106
2022-06-02,332,107
2022-06-03,332,108
2022-06-07,332,109
2022-06-08,333,110
2022-06-09,331,111
2022-06-10,331,112
2022-06-13,331,113
2022-06-14,328,114
2022-06-15,326,115
2022-06-16,338,116
2022-06-17,338,117
2022-06-20,338,118
2022-06-21,338,119
2022-06-22,338,120
2022-06-23,340,121
2022-06-24,342,122
2022-06-27,342,123
2022-06-28,342,124
2022-06-29,344,125
2022-06-30,343,126
2022-07-01,341,127
2022-07-04,341,128
2022-07-05,343,129
2022-07-06,343,130
2022-07-07,339,131
2022-07-08,344,132
2022-07-11,344,133
2022-07-12,343,134
2022-07-13,343,135
2022-07-14,331,136
2022-07-15,331,137
2022-07-18,331,138
2022-07-19,328,139
2022-07-20,328,140
2022-07-21,338,141
2022-07-22,338,142
2022-07-25,338,143
2022-07-26,338,144
2022-07-27,338,145
2022-07-28,337,146
2022-07-29,332,147
2022-08-01,332,148
2022-08-02,332,149
2022-08-03,331,150
2022-08-04,330,151
2022-08-05,330,152
2022-08-08,330,153
2022-08-09,329,154
2022-08-10,327,155
2022-08-11,325,156
2022-08-12,323,157
2022-08-16,325,158
2022-08-17,325,159
2022-08-18,335,160
2022-08-19,335,161
2022-08-22,335,162
2022-08-23,335,163
2022-08-24,332,164
2022-08-25,334,165
2022-08-26,334,166
2022-08-29,332,167
2022-08-30,332,168
2022-08-31,333,169
2022-09-01,300,170
2022-09-02,301,171
2022-09-05,303,172
2022-09-06,303,173
2022-09-07,303,174
2022-09-08,321,175
2022-09-13,322,176
2022-09-14,322,177
2022-09-15,318,178
2022-09-16,318,179
2022-09-19,316,180
2022-09-20,316,181
2022-09-21,316,182
2022-09-22,321,183
2022-09-23,329,184
2022-09-26,329,185
2022-09-27,330,186
2022-09-28,331,187
2022-09-29,337,188
2022-09-30,337,189
2022-10-04,336,190
2022-10-05,336,191
2022-10-06,333,192
2022-10-07,337,193
2022-10-11,339,194
2022-10-12,337,195
2022-10-13,335,196
2022-10-14,337,197
2022-10-17,335,198
2022-10-18,335,199
2022-10-19,335,200
2022-10-20,335,201
2022-10-21,335,202
2022-10-24,335,203
2022-10-25,335,204
2022-10-26,335,205
2022-10-27,335,206
2022-10-28,335,207
2022-10-31,334,208
2022-11-01,334,209
2022-11-02,334,210
2022-11-03,336,211
2022-11-04,335,212
2022-11-07,335,213
2022-11-08,335,214
2022-11-09,335,215
2022-11-10,331,216
2022-11-11,324,217
2022-11-14,318,218
2022-11-15,323,219
2022-11-16,323,220
2022-11-17,321,221
2022-11-18,321,222
2022-11-21,321,223
2022-11-22,320,224
2022-11-23,320,225
2022-11-24,329,226
2022-11-25,326,227
2022-11-28,325,228
2022-11-29,325,229
2022-11-30,325,230
2022-12-01,323,231
2022-12-05,319,232
2022-12-06,318,233
2022-12-07,320,234
2022-12-08,308,235
2022-12-09,312,236
2022-12-12,309,237
2022-12-13,311,238
2022-12-14,308,239
2022-12-15,310,240
2022-12-16,314,241
2022-12-19,318,242
2022-12-20,317,243
2022-12-21,316,244
2022-12-22,308,245
2022-12-23,308,246
