date,price,index
2021-12-27,3136,1
2021-12-28,3131,2
2021-12-29,3119,3
2021-12-30,3156,4
2021-12-31,3211,5
2022-01-03,3190,6
2022-01-04,3188,7
2022-01-05,3134,8
2022-01-06,3113,9
2022-01-07,3113,10
2022-01-10,3089,11
2022-01-11,3081,12
2022-01-12,3081,13
2022-01-13,3081,14
2022-01-14,3002,15
2022-01-17,3047,16
2022-01-18,3038,17
2022-01-19,3075,18
2022-01-20,3066,19
2022-01-21,3056,20
2022-01-24,3062,21
2022-01-25,3056,22
2022-01-26,3093,23
2022-01-27,3093,24
2022-01-28,3093,25
2022-02-03,3109,26
2022-02-04,3158,27
2022-02-07,3159,28
2022-02-08,3169,29
2022-02-09,3197,30
2022-02-10,3145,31
2022-02-11,3117,32
2022-02-14,3103,33
2022-02-15,3131,34
2022-02-16,3140,35
2022-02-17,3149,36
2022-02-18,3139,37
2022-02-21,3139,38
2022-02-22,3139,39
2022-02-23,3139,40
2022-02-24,3132,41
2022-02-25,3132,42
2022-02-28,3142,43
2022-03-02,3230,44
2022-03-03,3358,45
2022-03-04,3414,46
2022-03-07,3376,47
2022-03-08,3529,48
2022-03-10,3599,49
2022-03-11,3608,50
2022-03-14,3594,51
2022-03-15,3628,52
2022-03-16,3667,53
2022-03-17,3685,54
2022-03-18,3799,55
2022-03-21,3828,56
2022-03-22,3826,57
2022-03-23,3837,58
2022-03-24,3845,59
2022-03-25,3855,60
2022-03-28,3937,61
2022-03-29,3937,62
2022-03-30,3974,63
2022-03-31,3963,64
2022-04-01,3933,65
2022-04-04,3933,66
2022-04-05,3933,67
2022-04-06,3933,68
2022-04-07,3929,69
2022-04-08,3966,70
2022-04-11,3994,71
2022-04-12,4012,72
2022-04-13,4012,73
2022-04-14,4044,74
2022-04-15,4109,75
2022-04-18,4151,76
2022-04-19,4151,77
2022-04-20,4160,78
2022-04-21,4177,79
2022-04-22,4223,80
2022-04-25,4213,81
2022-04-26,4213,82
2022-04-27,4213,83
2022-04-28,4271,84
2022-04-29,4370,85
2022-05-02,4546,86
2022-05-03,4624,87
2022-05-04,4752,88
2022-05-06,4869,89
2022-05-09,4911,90
2022-05-10,4853,91
2022-05-11,4826,92
2022-05-12,4707,93
2022-05-13,4631,94
2022-05-16,4604,95
2022-05-17,4702,96
2022-05-18,4712,97
2022-05-19,4821,98
2022-05-20,4910,99
2022-05-23,4930,100
2022-05-24,4930,101
2022-05-25,4930,102
2022-05-26,4705,103
2022-05-27,4715,104
2022-05-30,4636,105
2022-05-31,4527,106
2022-06-02,4430,107
2022-06-03,4368,108
2022-06-07,4223,109
2022-06-08,4065,110
2022-06-09,4002,111
2022-06-10,3877,112
2022-06-13,3798,113
2022-06-14,3856,114
2022-06-15,3819,115
2022-06-16,3708,116
2022-06-17,3671,117
2022-06-20,3673,118
2022-06-21,3603,119
2022-06-22,3621,120
2022-06-23,3638,121
2022-06-24,3650,122
2022-06-27,3669,123
2022-06-28,3691,124
2022-06-29,3829,125
2022-06-30,3866,126
2022-07-01,3866,127
2022-07-04,3893,128
2022-07-05,3931,129
2022-07-06,3931,130
2022-07-07,3875,131
2022-07-08,3868,132
2022-07-11,3941,133
2022-07-12,3946,134
2022-07-13,4052,135
2022-07-14,4215,136
2022-07-15,4471,137
2022-07-18,4530,138
2022-07-19,4618,139
2022-07-20,4706,140
2022-07-21,4710,141
2022-07-22,4676,142
2022-07-25,4654,143
2022-07-26,4782,144
2022-07-27,4645,145
2022-07-28,4529,146
2022-07-29,4443,147
2022-08-01,4374,148
2022-08-02,4346,149
2022-08-03,4213,150
2022-08-04,4248,151
2022-08-05,4199,152
2022-08-08,4298,153
2022-08-09,4311,154
2022-08-10,4463,155
2022-08-11,4476,156
2022-08-12,4581,157
2022-08-16,4585,158
2022-08-17,4277,159
2022-08-18,4223,160
2022-08-19,4198,161
2022-08-22,4153,162
2022-08-23,4130,163
2022-08-24,4112,164
2022-08-25,4112,165
2022-08-26,4119,166
2022-08-29,3985,167
2022-08-30,3967,168
2022-08-31,3967,169
2022-09-01,3977,170
2022-09-02,4105,171
2022-09-05,4329,172
2022-09-06,4419,173
2022-09-07,4552,174
2022-09-08,4411,175
2022-09-13,4511,176
2022-09-14,4506,177
