date,price,index
2021-12-27,2216,1
2021-12-28,2267,2
2021-12-29,2284,3
2021-12-30,2469,4
2021-12-31,2495,5
2022-01-03,2495,6
2022-01-04,2512,7
2022-01-05,2546,8
2022-01-06,2688,9
2022-01-07,2940,10
2022-01-10,2958,11
2022-01-11,2939,12
2022-01-12,2951,13
2022-01-13,2877,14
2022-01-14,2859,15
2022-01-17,2838,16
2022-01-18,2854,17
2022-01-19,2870,18
2022-01-20,2938,19
2022-01-21,2942,20
2022-01-24,2940,21
2022-01-25,2934,22
2022-01-26,2934,23
2022-01-27,2956,24
2022-01-28,2973,25
2022-02-03,2991,26
2022-02-04,3005,27
2022-02-07,2977,28
2022-02-08,2958,29
2022-02-09,2892,30
2022-02-10,2698,31
2022-02-11,2673,32
2022-02-14,2681,33
2022-02-15,2645,34
2022-02-16,2632,35
2022-02-17,2643,36
2022-02-18,2623,37
2022-02-21,2589,38
2022-02-22,2580,39
2022-02-23,2564,40
2022-02-24,2499,41
2022-02-25,2500,42
2022-02-28,2508,43
2022-03-02,2532,44
2022-03-03,2654,45
2022-03-04,2663,46
2022-03-07,2666,47
2022-03-08,2660,48
2022-03-10,2655,49
2022-03-11,2653,50
2022-03-14,2639,51
2022-03-15,2618,52
2022-03-16,2575,53
2022-03-17,2509,54
2022-03-18,2471,55
2022-03-21,2437,56
2022-03-22,2456,57
2022-03-23,2443,58
2022-03-24,2473,59
2022-03-25,2457,60
2022-03-28,2476,61
2022-03-29,2492,62
2022-03-30,2524,63
2022-03-31,2641,64
2022-04-01,2642,65
2022-04-04,2654,66
2022-04-05,2638,67
2022-04-06,2622,68
2022-04-07,2517,69
2022-04-08,2485,70
2022-04-11,2484,71
2022-04-12,2462,72
2022-04-13,2446,73
2022-04-14,2481,74
2022-04-15,2478,75
2022-04-18,2459,76
2022-04-19,2447,77
2022-04-20,2431,78
2022-04-21,2368,79
2022-04-22,2381,80
2022-04-25,2382,81
2022-04-26,2376,82
2022-04-27,2376,83
2022-04-28,2429,84
2022-04-29,2430,85
