date,price,index
2022-12-27,2988,1
2022-12-28,2909,2
2022-12-29,2989,3
2022-12-30,3217,4
2022-12-31,3167,5
2022-01-03,3268,6
2022-01-04,3268,7
2022-01-05,3568,8
2022-01-06,3701,9
2022-01-07,3723,10
2022-01-10,3660,11
2022-11-02,3441,12
2022-11-03,3324,13
2022-11-04,3182,14
2022-11-07,3255,15
2022-11-08,3340,16
2022-11-09,3373,17
2022-11-10,4343,18
2022-11-11,4351,19
2022-11-14,4405,20
2022-11-15,4369,21
2022-11-16,4367,22
2022-11-17,4625,23
2022-11-18,4610,24
2022-11-21,4607,25
2022-11-22,4539,26
2022-11-23,4563,27
2022-11-24,4584,28
2022-11-25,4628,29
2022-11-28,4628,30
2022-11-29,4553,31
2022-11-30,4558,32
2022-12-01,4451,33
2022-12-05,4130,34
2022-12-06,3932,35
2022-12-07,3888,36
2022-12-08,3746,37
2022-12-09,3760,38
2022-12-12,3702,39
2022-12-13,3678,40
2022-12-14,3763,41
2022-12-15,3624,42
2022-12-16,3648,43
2022-12-19,3505,44
2022-12-20,3428,45
2022-12-21,3605,46
2022-12-22,3558,47
2022-12-23,3614,48
