date,price,index
2021-12-27,2782,1
2021-12-28,2782,2
2021-12-29,2783,3
2021-12-30,2768,4
2021-12-31,2768,5
2022-01-03,2768,6
2022-01-04,2744,7
2022-01-05,2744,8
2022-01-06,2762,9
2022-01-07,2765,10
2022-01-10,2754,11
2022-01-11,2793,12
2022-01-12,2787,13
2022-01-13,2802,14
2022-01-14,2806,15
2022-01-17,2794,16
2022-01-18,2797,17
2022-01-19,2777,18
2022-01-20,2777,19
2022-01-21,2768,20
2022-01-24,2748,21
2022-01-25,2748,22
2022-01-26,2748,23
2022-01-27,2590,24
2022-01-28,2590,25
2022-02-03,2760,26
2022-02-04,2760,27
2022-02-07,2760,28
2022-02-08,2760,29
2022-02-09,2760,30
2022-02-10,2760,31
2022-02-11,2760,32
2022-02-14,2760,33
2022-02-15,2760,34
2022-02-16,2723,35
2022-02-17,2782,36
2022-02-18,2798,37
2022-02-21,2798,38
2022-02-22,2771,39
2022-02-23,2771,40
2022-02-24,2771,41
2022-02-25,2771,42
2022-02-28,2771,43
2022-03-02,2771,44
2022-03-03,2798,45
2022-03-04,2798,46
2022-03-07,2818,47
2022-03-08,2818,48
2022-03-10,2806,49
2022-03-11,2806,50
2022-03-14,2804,51
2022-03-15,2804,52
2022-03-16,2797,53
2022-03-17,2612,54
2022-03-18,2612,55
2022-03-21,2619,56
2022-03-22,2619,57
2022-03-23,2619,58
2022-03-24,2746,59
2022-03-25,2766,60
2022-03-28,2766,61
2022-03-29,2774,62
2022-03-30,2774,63
2022-03-31,2774,64
2022-04-01,2774,65
2022-04-04,2774,66
2022-04-05,2774,67
2022-04-06,2774,68
2022-04-07,2805,69
2022-04-08,2805,70
2022-04-11,2803,71
2022-04-12,2803,72
2022-04-13,2790,73
2022-04-14,2799,74
2022-04-15,2814,75
2022-04-18,2810,76
2022-04-19,2819,77
2022-04-20,2819,78
2022-04-21,2811,79
2022-04-22,2775,80
2022-04-25,2797,81
2022-04-26,2797,82
2022-04-27,2797,83
2022-04-28,2811,84
2022-04-29,2814,85
2022-05-02,2814,86
2022-05-03,2800,87
2022-05-04,2800,88
2022-05-06,2800,89
2022-05-09,2812,90
2022-05-10,2812,91
2022-05-11,2812,92
2022-05-12,2812,93
2022-05-13,2808,94
2022-05-16,2808,95
2022-05-17,2808,96
2022-05-18,2808,97
2022-05-19,2831,98
2022-05-20,2842,99
2022-05-23,2806,100
2022-05-24,2806,101
2022-05-25,2806,102
2022-05-26,2806,103
2022-05-27,2806,104
2022-05-30,2806,105
2022-05-31,2806,106
2022-06-02,2794,107
2022-06-03,2782,108
2022-06-07,2819,109
2022-06-08,2819,110
2022-06-09,2819,111
2022-06-10,2819,112
2022-06-13,2819,113
2022-06-14,2819,114
2022-06-15,2811,115
2022-06-16,2708,116
2022-06-17,2708,117
2022-06-20,2732,118
2022-06-21,2732,119
2022-06-22,2740,120
2022-06-23,2708,121
2022-06-24,2730,122
2022-06-27,2730,123
2022-06-28,2751,124
2022-06-29,2751,125
