date,price,index
2021-12-27,1872,1
2021-12-28,1884,2
2021-12-29,1884,3
2021-12-30,1884,4
2021-12-31,1893,5
2022-01-03,1893,6
2022-01-04,1884,7
2022-01-05,1884,8
2022-01-06,1893,9
2022-01-07,1901,10
2022-01-10,1893,11
2022-01-11,1888,12
2022-01-12,1888,13
2022-01-13,1876,14
2022-01-14,1876,15
2022-01-17,1876,16
2022-01-18,1876,17
2022-01-19,1876,18
2022-01-20,1862,19
2022-01-21,1844,20
2022-01-24,1844,21
2022-01-25,1844,22
2022-01-26,1844,23
2022-01-27,1844,24
2022-01-28,1844,25
2022-02-03,1844,26
2022-02-04,1844,27
2022-02-07,1857,28
2022-02-08,1857,29
2022-02-09,1857,30
2022-02-10,1857,31
2022-02-11,1857,32
2022-02-14,1857,33
2022-02-15,1857,34
2022-02-16,1857,35
2022-02-17,1857,36
2022-02-18,1857,37
2022-02-21,1857,38
2022-02-22,1857,39
2022-02-23,1857,40
2022-02-24,1857,41
2022-02-25,1857,42
2022-02-28,1857,43
2022-03-02,1857,44
2022-03-03,1857,45
2022-03-04,1868,46
2022-03-07,1816,47
2022-03-08,1816,48
2022-03-10,1816,49
2022-03-11,1816,50
2022-03-14,1753,51
2022-03-15,1753,52
2022-03-16,1753,53
2022-03-17,1753,54
2022-03-18,1753,55
2022-03-21,1753,56
2022-03-22,1753,57
2022-03-23,1753,58
2022-03-24,1816,59
2022-03-25,1816,60
2022-03-28,1784,61
2022-03-29,1816,62
2022-03-30,1816,63
2022-03-31,1816,64
2022-04-01,1816,65
2022-04-04,1816,66
2022-04-05,1816,67
2022-04-06,1836,68
2022-04-07,1836,69
2022-04-08,1771,70
2022-04-11,1669,71
2022-04-12,1678,72
2022-04-13,1678,73
2022-04-14,1734,74
2022-04-15,1761,75
2022-04-18,1835,76
2022-04-19,1835,77
2022-04-20,1844,78
2022-04-21,1553,79
2022-04-22,1523,80
2022-04-25,1468,81
2022-04-26,1468,82
2022-04-27,1468,83
2022-04-28,1646,84
2022-04-29,1718,85
2022-05-02,1756,86
2022-05-03,1759,87
2022-05-04,1809,88
2022-05-06,1809,89
2022-05-09,1826,90
2022-05-10,1826,91
2022-05-11,1817,92
2022-05-12,1859,93
2022-05-13,1859,94
2022-05-16,1859,95
2022-05-17,1859,96
2022-05-18,1844,97
2022-05-19,1859,98
2022-05-20,1844,99
2022-05-23,1844,100
2022-05-24,1826,101
2022-05-25,1844,102
2022-05-26,1859,103
2022-05-27,1859,104
2022-05-30,1844,105
2022-05-31,1844,106
2022-06-02,1844,107
2022-06-03,1844,108
2022-06-07,1844,109
2022-06-08,1839,110
2022-06-09,1898,111
2022-06-10,1962,112
2022-06-13,1961,113
2022-06-14,1844,114
2022-06-15,1844,115
2022-06-16,1761,116
2022-06-17,1761,117
2022-06-20,1761,118
2022-06-21,1761,119
2022-06-22,1761,120
2022-06-23,1735,121
2022-06-24,1840,122
2022-06-27,1833,123
2022-06-28,1834,124
2022-06-29,1850,125
2022-06-30,1862,126
2022-07-01,1862,127
2022-07-04,1850,128
2022-07-05,1803,129
2022-07-06,1837,130
2022-07-07,1837,131
2022-07-08,1837,132
2022-07-11,1802,133
2022-07-12,1802,134
2022-07-13,1837,135
2022-07-14,1837,136
2022-07-15,1837,137
2022-07-18,1837,138
2022-07-19,1850,139
2022-07-20,1850,140
2022-07-21,1850,141
2022-07-22,1861,142
2022-07-25,1821,143
2022-07-26,1850,144
2022-07-27,1861,145
2022-07-28,2058,146
2022-07-29,2040,147
2022-08-01,2110,148
2022-08-02,2132,149
2022-08-03,2139,150
2022-08-04,2139,151
2022-08-05,2164,152
2022-08-08,2139,153
2022-08-09,2130,154
2022-08-10,2135,155
2022-08-11,1951,156
2022-08-12,1948,157
2022-08-16,1934,158
2022-08-17,1929,159
2022-08-18,2068,160
2022-08-19,2135,161
2022-08-22,2162,162
2022-08-23,2162,163
2022-08-24,2186,164
2022-08-25,2176,165
2022-08-26,2153,166
2022-08-29,2130,167
2022-08-30,2153,168
2022-08-31,2176,169
2022-09-01,2176,170
2022-09-02,2197,171
2022-09-05,2176,172
2022-09-06,2197,173
2022-09-07,2197,174
2022-09-08,2150,175
2022-09-13,2097,176
2022-09-14,2126,177
2022-09-15,2176,178
2022-09-16,2176,179
2022-09-19,2176,180
2022-09-20,2176,181
2022-09-21,2153,182
2022-09-22,1743,183
2022-09-23,1743,184
2022-09-26,1779,185
2022-09-27,1761,186
2022-09-28,1759,187
2022-09-29,2140,188
2022-09-30,2198,189
2022-10-04,2142,190
2022-10-05,2166,191
2022-10-06,2198,192
2022-10-07,2205,193
2022-10-11,2205,194
2022-10-12,2205,195
2022-10-13,2074,196
2022-10-14,2042,197
2022-10-17,1909,198
2022-10-18,1891,199
2022-10-19,1891,200
2022-10-20,1979,201
2022-10-21,2010,202
2022-10-24,1968,203
2022-10-25,1968,204
2022-10-26,1872,205
2022-10-27,1887,206
2022-10-28,1975,207
2022-10-31,1934,208
2022-11-01,1975,209
2022-11-02,2010,210
2022-11-03,1976,211
2022-11-04,2040,212
2022-11-07,2067,213
2022-11-08,1914,214
2022-11-09,1873,215
2022-11-10,1939,216
2022-11-11,2012,217
2022-11-14,2002,218
2022-11-15,2047,219
2022-11-16,2055,220
2022-11-17,2034,221
2022-11-18,1993,222
2022-11-21,1922,223
2022-11-22,2019,224
2022-11-23,1992,225
2022-11-24,2007,226
2022-11-25,1992,227
2022-11-28,2033,228
2022-11-29,2046,229
2022-11-30,2046,230
2022-12-01,2053,231
2022-12-05,2116,232
2022-12-06,2098,233
2022-12-07,2098,234
2022-12-08,2112,235
2022-12-09,2112,236
2022-12-12,2093,237
2022-12-13,2118,238
2022-12-14,2122,239
2022-12-15,2213,240
2022-12-16,2248,241
2022-12-19,2185,242
2022-12-20,2262,243
2022-12-21,2266,244
2022-12-22,2223,245
2022-12-23,2158,246
