date,price,index
2021-12-27,10469,1
2021-12-28,10587,2
2021-12-29,10587,3
2021-12-30,10587,4
2021-12-31,10587,5
2022-01-03,10615,6
2022-01-04,10559,7
2022-01-05,10559,8
2022-01-06,10586,9
2022-01-07,10577,10
2022-01-10,10550,11
2022-01-11,10527,12
2022-01-12,10510,13
2022-01-13,10559,14
2022-01-14,10535,15
2022-01-17,10510,16
2022-01-18,10510,17
2022-01-19,10510,18
2022-01-20,10403,19
2022-01-21,10403,20
2022-01-24,10403,21
2022-01-25,10403,22
2022-01-26,10403,23
2022-01-27,10403,24
2022-01-28,10403,25
2022-02-03,10461,26
2022-02-04,10461,27
2022-02-07,10403,28
2022-02-08,10403,29
2022-02-09,10403,30
2022-02-10,10389,31
2022-02-11,10389,32
2022-02-14,10258,33
2022-02-15,10272,34
2022-02-16,10272,35
2022-02-17,10272,36
2022-02-18,10317,37
2022-02-21,10317,38
2022-02-22,10317,39
2022-02-23,10317,40
2022-02-24,10317,41
2022-02-25,10304,42
2022-02-28,10304,43
2022-03-02,10325,44
2022-03-03,10325,45
2022-03-04,10325,46
2022-03-07,10325,47
2022-03-08,10425,48
2022-03-10,10425,49
2022-03-11,10417,50
2022-03-14,10467,51
2022-03-15,10467,52
2022-03-16,10467,53
2022-03-17,10434,54
2022-03-18,10417,55
2022-03-21,10417,56
2022-03-22,10417,57
2022-03-23,10417,58
2022-03-24,10408,59
2022-03-25,10408,60
2022-03-28,10408,61
2022-03-29,10408,62
2022-03-30,10408,63
2022-03-31,10408,64
2022-04-01,10408,65
2022-04-04,10408,66
2022-04-05,10408,67
2022-04-06,10408,68
2022-04-07,10408,69
2022-04-08,10408,70
2022-04-11,10408,71
2022-04-12,10420,72
2022-04-13,10420,73
2022-04-14,10420,74
2022-04-15,10420,75
2022-04-18,10420,76
2022-04-19,10428,77
2022-04-20,10428,78
2022-04-21,10428,79
2022-04-22,10428,80
2022-04-25,10428,81
2022-04-26,10428,82
2022-04-27,10428,83
2022-04-28,10428,84
2022-04-29,10428,85
2022-05-02,10450,86
2022-05-03,10450,87
2022-05-04,10450,88
2022-05-06,10450,89
2022-05-09,10450,90
2022-05-10,10450,91
2022-05-11,10450,92
2022-05-12,10067,93
2022-05-13,10450,94
2022-05-16,10450,95
2022-05-17,10450,96
2022-05-18,10450,97
2022-05-19,10320,98
2022-05-20,10320,99
2022-05-23,10450,100
2022-05-24,10450,101
2022-05-25,10450,102
2022-05-26,10427,103
