date,price,index
2021-12-27,929,1
2021-12-28,930,2
2021-12-29,908,3
2021-12-30,912,4
2021-12-31,915,5
2022-01-03,919,6
2022-01-04,931,7
2022-01-05,922,8
2022-01-06,922,9
2022-01-07,922,10
2022-01-10,922,11
2022-01-11,907,12
2022-01-12,907,13
2022-01-13,908,14
2022-01-14,918,15
2022-01-17,953,16
2022-01-18,966,17
2022-01-19,980,18
2022-01-20,994,19
2022-01-21,1006,20
2022-01-24,1046,21
2022-01-25,1089,22
2022-01-26,1108,23
2022-01-27,1113,24
2022-01-28,1130,25
2022-02-03,1088,26
2022-02-04,1063,27
2022-02-07,1065,28
2022-02-08,1036,29
2022-02-09,979,30
2022-02-10,928,31
2022-02-11,895,32
2022-02-14,893,33
2022-02-15,865,34
2022-02-16,861,35
2022-02-17,863,36
2022-02-18,863,37
2022-02-21,868,38
2022-02-22,840,39
2022-02-23,849,40
2022-02-24,822,41
2022-02-25,832,42
2022-02-28,844,43
2022-03-02,858,44
2022-03-03,899,45
2022-03-04,902,46
2022-03-07,911,47
2022-03-08,917,48
2022-03-10,911,49
2022-03-11,889,50
2022-03-14,887,51
2022-03-15,881,52
2022-03-16,848,53
2022-03-17,840,54
2022-03-18,840,55
2022-03-21,835,56
2022-03-22,795,57
2022-03-23,782,58
2022-03-24,752,59
2022-03-25,752,60
2022-03-28,755,61
2022-03-29,765,62
2022-03-30,765,63
2022-03-31,765,64
2022-04-01,730,65
2022-04-04,733,66
2022-04-05,738,67
2022-04-06,750,68
2022-04-07,743,69
2022-04-08,741,70
2022-04-11,714,71
2022-04-12,710,72
2022-04-13,707,73
2022-04-14,694,74
2022-04-15,689,75
2022-04-18,686,76
2022-04-19,683,77
2022-04-20,663,78
2022-04-21,654,79
2022-04-22,634,80
2022-04-25,632,81
2022-04-26,632,82
2022-04-27,632,83
2022-04-28,632,84
2022-04-29,611,85
2022-05-02,601,86
2022-05-03,605,87
2022-05-04,606,88
2022-05-06,602,89
2022-05-09,616,90
2022-05-10,622,91
2022-05-11,622,92
2022-05-12,618,93
2022-05-13,626,94
2022-05-16,588,95
2022-05-17,588,96
2022-05-18,585,97
2022-05-19,585,98
2022-05-20,569,99
2022-05-23,569,100
2022-05-24,564,101
2022-05-25,542,102
2022-05-26,536,103
2022-05-27,535,104
2022-05-30,527,105
2022-05-31,527,106
2022-06-02,532,107
2022-06-03,536,108
2022-06-07,536,109
2022-06-08,535,110
2022-06-09,537,111
2022-06-10,545,112
2022-06-13,545,113
2022-06-14,548,114
2022-06-15,543,115
2022-06-16,543,116
2022-06-17,543,117
2022-06-20,543,118
2022-06-21,542,119
2022-06-22,542,120
2022-06-23,542,121
2022-06-24,539,122
2022-06-27,539,123
2022-06-28,553,124
2022-06-29,557,125
2022-06-30,562,126
2022-07-01,563,127
2022-07-04,567,128
2022-07-05,571,129
2022-07-06,618,130
2022-07-07,640,131
2022-07-08,629,132
2022-07-11,651,133
2022-07-12,701,134
2022-07-13,730,135
2022-07-14,730,136
2022-07-15,730,137
2022-07-18,733,138
2022-07-19,737,139
2022-07-20,744,140
2022-07-21,748,141
2022-07-22,748,142
2022-07-25,733,143
2022-07-26,738,144
2022-07-27,727,145
2022-07-28,727,146
2022-07-29,718,147
2022-08-01,696,148
2022-08-02,695,149
2022-08-03,670,150
2022-08-04,670,151
2022-08-05,666,152
2022-08-08,700,153
2022-08-09,700,154
2022-08-10,700,155
2022-08-11,713,156
2022-08-12,709,157
2022-08-16,778,158
2022-08-17,778,159
2022-08-18,968,160
2022-08-19,1028,161
2022-08-22,1078,162
2022-08-23,1113,163
2022-08-24,1143,164
2022-08-25,1214,165
2022-08-26,1220,166
2022-08-29,1253,167
2022-08-30,1216,168
2022-08-31,1190,169
2022-09-01,1156,170
2022-09-02,1304,171
2022-09-05,1173,172
2022-09-06,1226,173
2022-09-07,1226,174
2022-09-08,1299,175
2022-09-13,1493,176
2022-09-14,1412,177
2022-09-15,1153,178
2022-09-16,1153,179
2022-09-19,1121,180
2022-09-20,1186,181
2022-09-21,1186,182
2022-09-22,1152,183
2022-09-23,1162,184
2022-09-26,1070,185
2022-09-27,1105,186
2022-09-28,1101,187
2022-10-13,1630,188
2022-10-14,1654,189
2022-10-17,1636,190
2022-10-18,1634,191
2022-10-19,1626,192
2022-10-20,1629,193
2022-10-21,1636,194
2022-10-24,1650,195
2022-10-25,1649,196
2022-10-26,1637,197
2022-10-27,1556,198
2022-10-28,1560,199
2022-10-31,1538,200
2022-11-01,1535,201
2022-11-02,1533,202
2022-11-03,1512,203
2022-11-04,1503,204
2022-11-07,1483,205
2022-11-08,1494,206
2022-11-09,1485,207
2022-11-10,1377,208
2022-11-11,1363,209
2022-11-14,1376,210
2022-11-15,1332,211
2022-11-16,1324,212
2022-11-17,1354,213
2022-11-18,1336,214
2022-11-21,1333,215
2022-11-22,1344,216
2022-11-23,1353,217
2022-11-24,1342,218
2022-11-25,1340,219
2022-11-28,1347,220
2022-11-29,1382,221
2022-11-30,1376,222
2022-12-01,1431,223
2022-12-05,1513,224
2022-12-06,1516,225
2022-12-07,1533,226
2022-12-08,1510,227
2022-12-09,1485,228
2022-12-12,1492,229
2022-12-13,1488,230
2022-12-14,1481,231
2022-12-15,1501,232
2022-12-16,1433,233
2022-12-19,1512,234
2022-12-20,1510,235
2022-12-21,1495,236
2022-12-22,1483,237
2022-12-23,1490,238
