date,price,index
2021-12-27,1734,1
2021-12-28,1745,2
2021-12-29,1748,3
2021-12-30,1732,4
2021-12-31,1736,5
2022-01-03,1654,6
2022-01-04,1670,7
2022-01-05,1708,8
2022-01-06,1679,9
2022-01-07,1699,10
2022-01-10,1704,11
2022-01-11,1740,12
2022-01-12,1760,13
2022-01-13,1872,14
2022-01-14,1881,15
2022-01-17,1890,16
2022-01-18,1956,17
2022-01-19,1970,18
2022-01-20,2043,19
2022-01-21,2045,20
2022-01-24,2057,21
2022-01-25,2083,22
2022-01-26,2059,23
2022-01-27,2073,24
2022-01-28,2093,25
2022-02-03,2151,26
2022-02-04,2163,27
2022-02-07,2173,28
2022-02-08,2175,29
2022-02-09,2184,30
2022-02-10,2089,31
2022-02-11,2076,32
2022-02-14,2069,33
2022-02-15,2062,34
2022-02-16,2050,35
2022-02-17,2158,36
2022-02-18,2155,37
2022-02-21,2154,38
2022-02-22,2142,39
2022-02-23,2152,40
2022-02-24,2147,41
2022-02-25,1969,42
2022-02-28,1971,43
2022-03-02,1798,44
2022-03-03,1855,45
2022-03-04,1852,46
2022-03-07,1867,47
2022-03-08,1869,48
2022-03-10,1978,49
2022-03-11,1963,50
2022-03-14,1949,51
2022-03-15,1935,52
2022-03-16,1911,53
2022-03-17,1836,54
2022-03-18,1799,55
2022-03-21,1742,56
2022-03-22,1749,57
2022-03-23,1716,58
2022-03-24,1767,59
2022-03-25,1755,60
2022-03-28,1758,61
2022-03-29,1754,62
2022-03-30,1753,63
2022-03-31,1610,64
2022-04-01,1596,65
2022-04-04,1523,66
2022-04-05,1504,67
2022-04-06,1504,68
2022-04-07,1588,69
2022-04-08,1577,70
2022-04-11,1483,71
2022-04-12,1480,72
2022-04-13,1475,73
2022-04-14,1526,74
2022-04-15,1522,75
2022-04-18,1506,76
2022-04-19,1526,77
2022-04-20,1518,78
2022-04-21,1582,79
2022-04-22,1590,80
2022-04-25,1578,81
2022-04-26,1567,82
2022-04-27,1567,83
2022-04-28,1506,84
2022-04-29,1513,85
2022-05-02,1510,86
2022-05-03,1502,87
2022-05-04,1501,88
2022-05-06,1396,89
2022-05-09,1396,90
2022-05-10,1413,91
2022-05-11,1418,92
2022-05-12,1525,93
2022-05-13,1568,94
2022-05-16,1552,95
2022-05-17,1526,96
2022-05-18,1533,97
2022-05-19,1633,98
2022-05-20,1622,99
2022-05-23,1651,100
2022-05-24,1652,101
2022-05-25,1631,102
2022-05-26,1476,103
2022-05-27,1466,104
2022-05-30,1475,105
2022-05-31,1471,106
2022-06-02,1424,107
2022-06-03,1405,108
2022-06-07,1431,109
2022-06-08,1435,110
2022-06-09,1425,111
2022-06-10,1423,112
2022-06-13,1413,113
2022-06-14,1414,114
2022-06-15,1405,115
2022-06-16,1267,116
2022-06-17,1261,117
2022-06-20,1273,118
2022-06-21,1276,119
2022-06-22,1271,120
2022-06-23,1372,121
2022-06-24,1372,122
2022-06-27,1374,123
2022-06-28,1373,124
2022-06-29,1373,125
2022-06-30,1289,126
2022-07-01,1280,127
2022-07-04,1284,128
2022-07-05,1270,129
2022-07-06,1267,130
2022-07-07,1356,131
2022-07-08,1361,132
2022-07-11,1369,133
2022-07-12,1380,134
2022-07-13,1386,135
2022-07-14,1389,136
2022-07-15,1399,137
2022-07-18,1398,138
2022-07-19,1384,139
2022-07-20,1383,140
2022-07-21,1298,141
2022-07-22,1296,142
2022-07-25,1338,143
2022-07-26,1359,144
2022-07-27,1364,145
