date,price,index
2022-12-27,366,1
2022-12-28,366,2
2022-12-29,400,3
2022-12-30,410,4
2022-12-31,416,5
2022-01-03,412,6
2022-01-04,413,7
2022-01-05,395,8
2022-01-06,371,9
2022-01-07,364,10
2022-01-10,366,11
2022-01-11,373,12
2022-01-12,373,13
2022-01-13,375,14
2022-01-14,375,15
2022-01-17,376,16
2022-01-18,376,17
2022-01-19,376,18
2022-01-20,371,19
2022-01-21,406,20
2022-01-24,392,21
2022-01-25,392,22
2022-01-26,393,23
2022-01-27,415,24
2022-01-28,422,25
2022-02-03,421,26
2022-02-04,419,27
2022-02-07,434,28
2022-02-08,470,29
2022-02-09,470,30
2022-02-10,458,31
2022-02-11,458,32
2022-02-14,458,33
2022-02-15,458,34
2022-02-16,458,35
2022-02-17,525,36
2022-02-18,522,37
2022-02-21,524,38
2022-02-22,524,39
2022-02-23,529,40
2022-02-24,522,41
2022-02-25,522,42
2022-02-28,515,43
2022-03-02,511,44
2022-03-03,511,45
2022-03-04,511,46
2022-03-07,514,47
2022-03-08,514,48
2022-03-10,508,49
2022-03-11,509,50
2022-03-14,509,51
2022-03-15,509,52
2022-03-16,505,53
2022-03-17,500,54
2022-03-18,504,55
2022-03-21,510,56
2022-03-22,515,57
2022-03-23,516,58
2022-03-24,515,59
2022-03-25,516,60
2022-03-28,518,61
2022-03-29,519,62
2022-03-30,520,63
2022-03-31,541,64
2022-04-01,547,65
2022-04-04,556,66
2022-04-05,559,67
2022-04-06,560,68
2022-04-07,560,69
2022-04-08,560,70
2022-04-11,564,71
2022-04-12,565,72
2022-04-13,565,73
2022-04-14,559,74
2022-04-15,561,75
2022-04-18,558,76
2022-04-19,559,77
2022-04-20,560,78
2022-04-21,571,79
2022-04-22,570,80
2022-04-25,574,81
2022-04-26,572,82
2022-04-27,572,83
2022-04-28,577,84
2022-04-29,585,85
2022-05-02,593,86
2022-05-03,595,87
2022-05-04,600,88
2022-05-06,601,89
2022-05-09,608,90
2022-05-10,606,91
2022-05-11,606,92
2022-05-12,608,93
2022-05-13,606,94
2022-05-16,602,95
2022-05-17,597,96
2022-05-18,595,97
2022-05-19,570,98
2022-05-20,568,99
2022-05-23,557,100
2022-05-24,556,101
2022-05-25,553,102
2022-05-26,544,103
2022-05-27,539,104
2022-05-30,535,105
2022-05-31,531,106
2022-06-02,534,107
2022-06-03,533,108
2022-06-07,529,109
2022-06-08,528,110
2022-06-09,495,111
2022-06-10,493,112
2022-06-13,491,113
2022-06-14,489,114
2022-06-15,485,115
2022-06-16,483,116
2022-06-17,483,117
2022-06-20,485,118
2022-06-21,483,119
2022-06-22,483,120
2022-06-23,477,121
2022-06-24,480,122
2022-06-27,481,123
2022-06-28,480,124
2022-06-29,486,125
2022-06-30,458,126
2022-07-01,458,127
2022-07-04,461,128
2022-07-05,459,129
2022-07-06,459,130
2022-07-07,442,131
2022-07-08,442,132
2022-07-11,440,133
2022-07-12,438,134
2022-07-13,438,135
2022-07-14,428,136
2022-07-15,435,137
2022-07-18,426,138
2022-07-19,425,139
2022-07-20,423,140
2022-07-21,412,141
2022-07-22,412,142
2022-07-25,403,143
2022-07-26,405,144
2022-07-27,409,145
2022-07-28,417,146
2022-07-29,413,147
2022-08-01,413,148
2022-08-02,411,149
2022-08-03,411,150
2022-08-04,408,151
2022-08-05,407,152
2022-08-08,406,153
2022-08-09,408,154
2022-08-10,408,155
2022-08-11,410,156
2022-08-12,410,157
2022-08-16,412,158
2022-08-17,412,159
2022-08-18,410,160
2022-08-19,410,161
2022-08-22,410,162
2022-08-23,409,163
2022-08-24,409,164
2022-08-25,421,165
2022-08-26,423,166
2022-08-29,423,167
2022-08-30,424,168
2022-08-31,424,169
2022-09-01,434,170
2022-09-02,433,171
2022-09-05,432,172
2022-09-06,432,173
2022-09-07,432,174
2022-09-08,425,175
2022-09-13,419,176
2022-09-14,414,177
2022-09-15,408,178
2022-09-16,407,179
2022-09-19,402,180
2022-09-20,403,181
2022-09-21,398,182
2022-09-22,401,183
2022-09-23,401,184
2022-09-26,401,185
2022-09-27,406,186
2022-09-28,406,187
2022-09-29,409,188
2022-09-30,409,189
2022-10-04,406,190
2022-10-05,406,191
2022-10-06,420,192
2022-10-07,420,193
2022-10-11,419,194
2022-10-12,417,195
2022-10-13,417,196
2022-10-14,417,197
2022-10-17,418,198
2022-10-18,418,199
2022-10-19,418,200
2022-10-20,421,201
2022-10-21,421,202
2022-10-24,423,203
2022-10-25,423,204
2022-10-26,420,205
2022-10-27,419,206
2022-10-28,423,207
2022-10-31,422,208
2022-11-01,422,209
2022-11-02,424,210
2022-11-03,416,211
2022-11-04,416,212
2022-11-07,416,213
2022-11-08,416,214
2022-11-09,417,215
2022-11-10,418,216
2022-11-11,418,217
2022-11-14,418,218
2022-11-15,418,219
2022-11-16,418,220
2022-11-17,418,221
2022-11-18,417,222
2022-11-21,427,223
2022-11-22,427,224
2022-11-23,427,225
2022-11-24,421,226
2022-11-25,421,227
2022-11-28,420,228
2022-11-29,420,229
2022-11-30,422,230
2022-12-01,419,231
2022-12-05,415,232
2022-12-06,418,233
2022-12-07,418,234
2022-12-08,413,235
2022-12-09,414,236
2022-12-12,414,237
2022-12-13,414,238
2022-12-14,414,239
2022-12-15,406,240
2022-12-16,406,241
2022-12-19,405,242
2022-12-20,405,243
2022-12-21,405,244
2022-12-22,419,245
2022-12-23,419,246
