date,price,index
2022-12-27,1530,1
2022-12-28,1560,2
2022-12-29,1560,3
2022-12-30,1542,4
2022-12-31,1560,5
2022-01-03,1573,6
2022-01-04,1593,7
2022-01-05,1595,8
2022-01-06,1570,9
2022-01-07,1573,10
2022-01-10,1574,11
2022-01-11,1561,12
2022-01-12,1561,13
2022-01-13,1530,14
2022-01-14,1521,15
2022-01-17,1527,16
2022-01-18,1567,17
2022-01-19,1566,18
2022-01-20,1616,19
2022-01-21,1592,20
2022-01-24,1600,21
2022-01-25,1602,22
2022-01-26,1614,23
2022-01-27,1704,24
2022-01-28,1722,25
2022-02-03,1810,26
2022-02-04,1853,27
2022-02-07,1854,28
2022-02-08,1864,29
2022-02-09,1858,30
2022-02-10,1673,31
2022-02-11,1675,32
2022-02-14,1668,33
2022-02-15,1667,34
2022-02-16,1674,35
2022-02-17,1635,36
2022-02-18,1637,37
2022-02-21,1625,38
2022-02-22,1625,39
2022-02-23,1625,40
2022-02-24,1628,41
2022-02-25,1628,42
2022-02-28,1640,43
2022-03-02,1783,44
2022-03-03,2104,45
2022-03-04,2138,46
2022-03-07,2169,47
2022-03-08,2225,48
2022-03-10,2249,49
2022-03-11,2259,50
2022-03-14,2260,51
2022-03-15,2261,52
2022-03-16,2231,53
2022-03-17,2160,54
2022-03-18,2153,55
2022-03-21,2183,56
2022-03-22,2184,57
2022-03-23,2184,58
2022-03-24,2280,59
2022-03-25,2288,60
2022-03-28,2291,61
2022-03-29,2302,62
2022-03-30,2330,63
2022-03-31,2422,64
2022-04-01,2422,65
2022-04-04,2430,66
2022-04-05,2444,67
2022-04-06,2455,68
2022-04-07,2481,69
2022-04-08,2471,70
2022-04-11,2470,71
2022-04-12,2457,72
2022-04-13,2452,73
2022-04-14,2323,74
2022-04-15,2321,75
2022-04-18,2283,76
2022-04-19,2253,77
2022-04-20,2223,78
2022-04-21,1778,79
2022-04-22,1663,80
2022-04-25,1578,81
2022-04-26,1571,82
2022-04-27,1571,83
2022-04-28,1628,84
2022-04-29,1562,85
2022-05-02,1618,86
2022-05-03,1625,87
2022-05-04,1624,88
2022-05-06,1530,89
2022-05-09,1532,90
2022-05-10,1536,91
2022-05-11,1566,92
2022-05-12,1724,93
2022-05-13,1772,94
2022-05-16,1797,95
2022-05-17,1804,96
2022-05-18,1802,97
2022-05-19,1807,98
2022-05-20,1819,99
2022-05-23,1817,100
2022-05-24,1812,101
2022-05-25,1817,102
2022-05-26,1735,103
2022-05-27,1719,104
2022-05-30,1706,105
2022-05-31,1685,106
2022-06-02,1577,107
2022-06-03,1564,108
2022-06-07,1560,109
2022-06-08,1557,110
2022-06-09,1556,111
2022-06-10,1554,112
2022-06-13,1555,113
2022-06-14,1593,114
2022-06-15,1608,115
2022-06-16,1683,116
2022-06-17,1608,117
2022-06-20,1694,118
2022-06-21,1694,119
2022-06-22,1692,120
2022-06-23,1733,121
2022-06-24,1726,122
2022-06-27,1719,123
2022-06-28,1718,124
2022-06-29,1710,125
2022-06-30,1642,126
2022-07-01,1602,127
2022-07-04,1628,128
2022-07-05,1638,129
2022-07-06,1643,130
2022-07-07,1658,131
2022-07-08,1671,132
2022-07-11,1673,133
2022-07-12,1673,134
2022-07-13,1669,135
2022-07-14,1634,136
2022-07-15,1640,137
2022-07-18,1628,138
2022-07-19,1618,139
2022-07-20,1608,140
2022-07-21,1605,141
2022-07-22,1566,142
2022-07-25,1563,143
2022-07-26,1556,144
2022-07-27,1531,145
2022-07-28,1427,146
2022-07-29,1431,147
2022-08-01,1430,148
2022-08-02,1427,149
2022-08-03,1436,150
2022-08-04,1362,151
2022-08-05,1360,152
2022-08-08,1382,153
2022-08-09,1389,154
2022-08-10,1376,155
2022-08-11,1572,156
2022-08-12,1571,157
2022-08-16,1577,158
2022-08-17,1573,159
2022-08-18,1586,160
2022-08-19,1586,161
2022-08-22,1588,162
2022-08-23,1574,163
2022-08-24,1594,164
2022-08-25,1543,165
2022-08-26,1547,166
2022-08-29,1554,167
2022-08-30,1555,168
2022-08-31,1559,169
2022-09-01,1577,170
2022-09-02,1586,171
2022-09-05,1590,172
2022-09-06,1655,173
2022-09-07,1655,174
2022-09-08,1868,175
2022-09-13,1878,176
2022-09-14,1876,177
2022-09-15,1709,178
2022-09-16,1709,179
2022-09-19,1697,180
2022-09-20,1693,181
2022-09-21,1700,182
2022-09-22,1538,183
2022-09-23,1522,184
2022-09-26,1536,185
2022-09-27,1546,186
2022-09-28,1565,187
2022-09-29,1805,188
2022-09-30,1813,189
2022-10-04,1820,190
2022-10-05,1847,191
2022-10-06,2305,192
2022-10-07,2350,193
2022-10-11,2361,194
2022-10-12,2364,195
2022-10-13,2312,196
2022-10-14,2316,197
2022-10-17,2285,198
2022-10-18,2282,199
2022-10-19,2282,200
2022-10-20,2213,201
2022-10-21,2293,202
2022-10-24,2365,203
2022-10-25,2380,204
2022-10-26,2377,205
2022-10-27,2229,206
2022-10-28,2251,207
2022-10-31,2247,208
2022-11-01,2248,209
2022-11-02,2240,210
2022-11-03,2236,211
2022-11-04,2219,212
2022-11-07,2210,213
2022-11-08,2204,214
2022-11-09,2203,215
2022-11-10,2010,216
2022-11-11,1997,217
2022-11-14,1957,218
2022-11-15,1952,219
2022-11-16,1950,220
2022-11-17,1744,221
2022-11-18,1756,222
2022-11-21,1754,223
2022-11-22,1747,224
2022-11-23,1747,225
2022-11-24,1588,226
2022-11-25,1577,227
2022-11-28,1562,228
2022-11-29,1558,229
2022-11-30,1564,230
2022-12-01,1564,231
2022-12-05,1558,232
2022-12-06,1561,233
2022-12-07,1590,234
2022-12-08,1609,235
2022-12-09,1621,236
2022-12-12,1627,237
2022-12-13,1633,238
2022-12-14,1657,239
2022-12-15,1743,240
2022-12-16,1745,241
2022-12-19,1750,242
2022-12-20,1833,243
2022-12-21,1833,244
2022-12-22,1843,245
2022-12-23,1858,246
