date,price,index
2021-12-27,8089,1
2021-12-28,8089,2
2021-12-29,8038,3
2021-12-30,8038,4
2021-12-31,8038,5
2022-01-03,8038,6
2022-01-04,8038,7
2022-01-05,8100,8
2022-01-06,8043,9
2022-01-07,8043,10
2022-01-10,7925,11
2022-01-11,7925,12
2022-01-12,7925,13
2022-01-13,8015,14
2022-01-14,8030,15
2022-01-17,8094,16
2022-01-18,8162,17
2022-01-19,8208,18
2022-01-20,8222,19
2022-01-21,8178,20
2022-01-24,8195,21
2022-01-25,8195,22
2022-01-26,8195,23
2022-01-27,8195,24
2022-01-28,8266,25
2022-02-03,8342,26
2022-02-04,8347,27
2022-02-07,8353,28
2022-02-08,8401,29
2022-02-09,8434,30
2022-02-10,8442,31
2022-02-11,8479,32
2022-02-14,8476,33
2022-02-15,8479,34
2022-02-16,8479,35
2022-02-17,8479,36
2022-02-18,8476,37
2022-02-21,8479,38
2022-02-22,8479,39
2022-02-23,8476,40
2022-02-24,8132,41
2022-02-25,8124,42
2022-02-28,8124,43
2022-03-02,8026,44
2022-03-03,8021,45
2022-03-04,8084,46
2022-03-07,8084,47
2022-03-08,8211,48
2022-03-10,8279,49
2022-03-11,8271,50
2022-03-14,8315,51
2022-03-15,8442,52
2022-03-16,8491,53
2022-03-17,8491,54
2022-03-18,8491,55
2022-03-21,8515,56
2022-03-22,8515,57
2022-03-23,8510,58
2022-03-24,8499,59
2022-03-25,8499,60
2022-03-28,8499,61
2022-03-29,8499,62
2022-03-30,8499,63
2022-03-31,8499,64
2022-04-01,8499,65
2022-04-04,8450,66
2022-04-05,8470,67
2022-04-06,8470,68
2022-04-07,8492,69
2022-04-08,8495,70
2022-04-11,8495,71
2022-04-12,8439,72
2022-04-13,8431,73
2022-04-14,8406,74
2022-04-15,8406,75
2022-04-18,8398,76
2022-04-19,8398,77
2022-04-20,8398,78
2022-04-21,8398,79
2022-04-22,8398,80
2022-04-25,8398,81
2022-04-26,8398,82
2022-04-27,8398,83
2022-04-28,8439,84
2022-04-29,8435,85
2022-05-02,8439,86
2022-05-03,8439,87
2022-05-04,8439,88
2022-05-06,8435,89
2022-05-09,8431,90
2022-05-10,8431,91
2022-05-11,8431,92
2022-05-12,8431,93
2022-05-13,8427,94
2022-05-16,8431,95
2022-05-17,8406,96
2022-05-18,8406,97
2022-05-19,8406,98
2022-05-20,8406,99
2022-05-23,8406,100
2022-05-24,8406,101
2022-05-25,8406,102
2022-05-26,8406,103
2022-05-27,8406,104
2022-05-30,8398,105
2022-05-31,8398,106
2022-06-02,8393,107
2022-06-03,8393,108
2022-06-07,8398,109
2022-06-08,8398,110
