date,price,index
2021-12-27,5451,1
2021-12-28,5451,2
2021-12-29,5436,3
2021-12-30,5478,4
2021-12-31,5479,5
2022-01-03,5372,6
2022-01-04,5384,7
2022-01-05,5429,8
2022-01-06,5466,9
2022-01-07,5442,10
2022-01-10,5480,11
2022-01-11,5500,12
2022-01-12,5529,13
2022-01-13,5447,14
2022-01-14,5507,15
2022-01-17,5422,16
2022-01-18,5397,17
2022-01-19,5398,18
2022-01-20,5425,19
2022-01-21,5430,20
2022-01-24,5411,21
2022-01-25,5445,22
2022-01-26,5415,23
2022-01-27,5384,24
2022-01-28,5298,25
2022-02-03,5271,26
2022-02-04,5271,27
2022-02-07,5200,28
2022-02-08,5200,29
2022-02-09,5223,30
2022-02-10,5179,31
2022-02-11,4956,32
2022-02-14,4974,33
2022-02-15,4976,34
2022-02-16,4984,35
2022-02-17,5066,36
2022-02-18,5103,37
2022-02-21,5079,38
2022-02-22,5407,39
2022-02-23,5391,40
2022-02-24,5336,41
2022-02-25,5392,42
2022-02-28,5236,43
2022-03-02,5222,44
2022-03-03,5337,45
2022-03-04,5345,46
2022-03-07,5349,47
2022-03-08,5349,48
2022-03-10,5251,49
2022-03-11,5230,50
2022-03-14,5205,51
2022-03-15,5187,52
2022-03-16,5100,53
2022-03-17,5007,54
2022-03-18,5007,55
2022-03-21,5021,56
2022-03-22,5029,57
2022-03-23,5016,58
2022-03-24,5060,59
2022-03-25,5081,60
2022-03-28,5219,61
2022-03-29,5343,62
2022-03-30,5343,63
2022-03-31,5388,64
2022-04-01,5388,65
2022-04-04,5367,66
2022-04-05,5425,67
2022-04-06,5414,68
2022-04-07,5446,69
2022-04-08,5468,70
2022-04-11,5366,71
2022-04-12,5369,72
2022-04-13,5331,73
2022-04-14,5219,74
2022-04-15,5229,75
2022-04-18,5256,76
2022-04-19,5320,77
2022-04-20,5320,78
2022-04-21,5305,79
2022-04-22,5326,80
2022-04-25,5326,81
2022-04-26,5334,82
2022-04-27,5334,83
2022-04-28,5287,84
2022-04-29,5348,85
2022-05-02,5419,86
2022-05-03,5419,87
